timestamp,PortXmitData_mlx5_1,PortRcvData_mlx5_1,PortXmitPkts_mlx5_1,PortRcvPkts_mlx5_1,PortXmitWait_mlx5_1,PortXmitData_mlx5_4,PortRcvData_mlx5_4,PortXmitPkts_mlx5_4,PortRcvPkts_mlx5_4,PortXmitWait_mlx5_4,PortXmitData_mlx5_2,PortRcvData_mlx5_2,PortXmitPkts_mlx5_2,PortRcvPkts_mlx5_2,PortXmitWait_mlx5_2,PortXmitData_mlx5_0,PortRcvData_mlx5_0,PortXmitPkts_mlx5_0,PortRcvPkts_mlx5_0,PortXmitWait_mlx5_0,PortRcvPkts_sum,PortXmitData_sum,PortRcvData_sum,PortXmitPkts_sum,PortXmitWait_sum
0,34486,39492,511,577,0,34296,39065,511,577,0,33654,38638,490,556,0,34497,39381,535,595,0,2305,136933,156576,2047,0
1,864,864,12,12,0,360,360,5,5,0,360,360,5,5,0,360,360,5,5,0,27,1944,1944,27,0
2,864,864,12,12,0,360,360,5,5,0,360,360,5,5,0,360,360,5,5,0,27,1944,1944,27,0
3,864,864,12,12,0,360,360,5,5,0,360,360,5,5,0,367,378,6,6,0,28,1951,1962,28,0
4,1296,1296,18,18,0,792,792,11,11,0,792,792,11,11,0,792,792,11,11,0,51,3672,3672,51,0
5,864,864,12,12,0,360,360,5,5,0,374,396,7,7,0,360,360,5,5,0,29,1958,1980,29,0
6,864,864,12,12,0,360,360,5,5,0,360,360,5,5,0,360,360,5,5,0,27,1944,1944,27,0
7,1080,1080,15,15,0,601,601,10,10,0,594,583,9,9,0,583,594,9,9,0,43,2858,2858,43,0
8,1296,1296,18,18,0,792,792,11,11,0,792,792,11,11,0,792,792,11,11,0,51,3672,3672,51,0
9,864,864,12,12,0,360,360,5,5,0,367,378,6,6,0,360,360,5,5,0,28,1951,1962,28,0
10,1080,1080,15,15,0,378,367,6,6,0,360,360,5,5,0,594,583,9,9,0,35,2412,2390,35,0
11,882,871,13,13,0,590,612,10,10,0,594,583,9,9,0,385,385,7,7,0,39,2451,2451,39,0
12,1080,1080,15,15,0,576,576,8,8,0,576,576,8,8,0,576,576,8,8,0,39,2808,2808,39,0
13,1080,1080,15,15,0,675,675,10,10,0,576,576,8,8,0,576,576,8,8,0,41,2907,2907,41,0
14,864,864,12,12,0,360,360,5,5,0,360,360,5,5,0,360,360,5,5,0,27,1944,1944,27,0
15,1080,1080,15,15,0,576,576,8,8,0,576,576,8,8,0,576,576,8,8,0,39,2808,2808,39,0
16,1008,1008,14,14,0,360,360,5,5,0,360,360,5,5,0,504,504,7,7,0,31,2232,2232,31,0
17,1188,1166,18,18,0,828,806,13,13,0,792,792,11,11,0,856,845,20,20,0,62,3664,3609,62,0
18,864,864,12,12,0,360,360,5,5,0,360,360,5,5,0,360,360,5,5,0,27,1944,1944,27,0
19,1080,1160,15,16,0,576,656,8,9,0,576,656,8,9,0,576,656,8,9,0,43,2808,3128,39,0
20,864,864,12,12,0,360,360,5,5,0,360,360,5,5,0,360,360,5,5,0,27,1944,1944,27,0
21,1080,1080,15,15,0,576,576,8,8,0,576,576,8,8,0,576,576,8,8,0,39,2808,2808,39,0
22,864,864,12,12,0,360,360,5,5,0,360,360,5,5,0,360,360,5,5,0,27,1944,1944,27,0
23,1080,1080,15,15,0,576,576,8,8,0,576,576,8,8,0,576,576,8,8,0,39,2808,2808,39,0
24,864,2937,12,39,0,360,2433,5,32,0,360,2433,5,32,0,360,2433,5,32,0,135,1944,10236,27,0
25,1080,1080,15,15,0,576,576,8,8,0,576,576,8,8,0,576,576,8,8,0,39,2808,2808,39,0
26,1080,1314,15,21,0,576,810,8,14,0,576,810,8,14,0,648,882,9,15,0,64,2880,3816,40,0
27,1080,1080,15,15,0,648,648,9,9,0,576,576,8,8,0,648,648,9,9,0,41,2952,2952,41,0
28,1159,1326,17,21,0,1170,1243,17,20,0,468,602,8,12,0,1728,1812,24,27,0,80,4525,4983,66,0
29,1152,1152,16,16,0,1368,1440,19,20,0,864,864,12,12,0,792,792,11,11,0,59,4176,4248,58,0
30,2232,2460,31,35,0,396,674,7,12,0,1728,1956,24,28,0,360,660,5,10,0,85,4716,5750,67,0
31,1080,4671,15,64,0,576,4167,8,57,0,576,4167,8,57,0,576,4167,8,57,0,235,2808,17172,39,0
32,1087,1098,16,16,0,576,576,8,8,0,576,576,8,8,0,576,576,8,8,0,40,2815,2826,40,0
33,864,864,12,12,0,396,374,7,7,0,378,367,6,6,0,360,360,5,5,0,30,1998,1965,30,0
34,12798,15191,166,189,0,374,1923,7,30,0,360,1887,5,28,0,10352,11928,120,143,0,390,23884,30929,298,0
35,3994191307,1066282,3909812,54524,1111417535,3815634109,1013966,3735111,50665,1061460404,3912882248,1045113,3830327,52347,1044402179,3908672573,1051456,3826076,54532,1116833984,212068,15631380237,4176817,15301326,4334114102
