timestamp,PortXmitData,PortRcvData,PortXmitPkts,PortRcvPkts,PortXmitWait
0,34486,39492,511,577,0
1,864,864,12,12,0
2,864,864,12,12,0
3,864,864,12,12,0
4,1296,1296,18,18,0
5,864,864,12,12,0
6,864,864,12,12,0
7,1080,1080,15,15,0
8,1296,1296,18,18,0
9,864,864,12,12,0
10,1080,1080,15,15,0
11,882,871,13,13,0
12,1080,1080,15,15,0
13,1080,1080,15,15,0
14,864,864,12,12,0
15,1080,1080,15,15,0
16,1008,1008,14,14,0
17,1188,1166,18,18,0
18,864,864,12,12,0
19,1080,1160,15,16,0
20,864,864,12,12,0
21,1080,1080,15,15,0
22,864,864,12,12,0
23,1080,1080,15,15,0
24,864,2937,12,39,0
25,1080,1080,15,15,0
26,1080,1314,15,21,0
27,1080,1080,15,15,0
28,1159,1326,17,21,0
29,1152,1152,16,16,0
30,2232,2460,31,35,0
31,1080,4671,15,64,0
32,1087,1098,16,16,0
33,864,864,12,12,0
34,12798,15191,166,189,0
35,3994191307,1066282,3909812,54524,1111417535
36,4160997587,1120267,4072877,58985,1208364775
37,4217971093,1122834,4128668,57589,1178302326
38,4280288526,1123061,4189631,56292,1118246999
39,3946323544,1050568,3862752,53863,1089204971
40,4198300275,1122288,4109569,57027,1184971794
41,4229625726,1106216,4140043,55272,1167072585
42,4294967295,1142805,4236225,58697,1123471230
43,4206057041,1121714,4117040,57274,1113105216
44,3631400822,961133,3554525,48938,1270633654
45,4175045798,1103588,4086707,55803,1180769862
46,4163972698,1095042,4075708,55853,1194514961
47,4196054988,1101786,4107246,55185,1148725923
48,4294967295,1143768,4210582,58225,1130523373
49,4200552193,1123234,4111590,58602,1187788192
50,4290861945,1135778,4200000,57784,1138235921
51,4269565139,1121783,4179194,56257,1101399165
52,4294967295,1143479,4230008,58653,1118659775
53,4167218137,1111100,4079028,56959,1202389550
54,4294967295,1158331,4292709,58548,1091672268
55,4131298227,1097268,4043797,56453,1193971886
56,4294967295,1147646,4269099,58087,1102968778
57,4294967295,1140704,4205893,58306,1150036442
58,4199708725,1115762,4110742,57419,1151431779
59,4294967295,1149098,4244638,58565,1092044379
60,4294967295,1137708,4260031,56914,1114087852
61,4294967295,1143377,4215408,58197,1136120280
62,4245538839,1118416,4155625,56604,1126129033
63,4181024722,1119673,4092468,58150,1135765821
64,4294967295,1137694,4253290,56901,1102368654
65,4286434600,1123831,4195676,56431,1139171765
66,4294967295,1161947,4353072,57970,1007705433
67,4191138131,1118155,4102428,57953,1138306679
68,4210448829,1120971,4121266,57547,1141759311
69,4253369064,1131411,4163355,57699,1148198633
70,4281625973,1117117,4190942,55910,1113835048
71,4132209733,1096232,4044673,55790,1103682495
72,4294967295,1178964,4344435,60644,1052761937
73,4014167675,1065513,3929097,54511,1191467007
74,3287578643,887725,3217916,46878,1218250405
75,3072455645,813205,3007315,41403,1079591560
76,3207921467,836284,3139946,41749,947692278
77,3125362184,825359,3059165,41728,892024889
78,3236109700,842188,3167531,41634,866801097
79,3027868950,794284,2963770,39659,849119325
80,2958784274,775273,2896083,38835,800749752
81,3258341624,851314,3189318,42435,856983453
82,3133747437,814088,3067362,40187,797796382
83,3146435778,829408,3079804,41644,909932273
84,3086479090,807834,3021099,40456,953054888
85,3102901617,803756,3037127,39674,813555241
86,3071276925,802966,3006264,39776,847034741
87,3011488054,784389,2947699,38743,835103961
88,3146519194,816157,3079861,40274,860581091
89,3055819245,797341,2991107,39183,781547497
90,3029645115,791788,2965463,39479,896196940
91,3188129755,834569,3120611,41658,905575595
92,3043412645,792822,2978913,39423,829701550
93,3181908713,833731,3114527,41063,783963341
94,3131140409,818898,3064854,40649,887223356
95,3016090623,787002,2952181,38713,731568586
96,3218684582,842584,3150489,42125,897116820
97,3105493646,810482,3039739,40034,798670952
98,3235560111,842743,3166983,41956,837918655
99,3157743793,821888,3090853,40617,825738945
100,3409288650,888158,3337038,44017,785654259
101,3400502467,888046,3328476,43879,902173953
102,3435317244,895040,3362548,44377,766324250
103,3235577755,845320,3167027,41963,753491759
104,2698193836,703694,2641030,34856,792222228
105,2545779596,665482,2491900,32760,723633847
106,1941748072,508261,1900629,24984,585446105
107,1734730318,453838,1697980,22516,605095502
108,1757817448,460847,1720610,22786,526428192
109,1250117971,326003,1223629,15980,351724762
110,759522209,198669,743446,9676,219467711
111,970499890,252861,949949,12335,211221995
112,776400214,201009,759947,9749,139449174
113,519006782,135259,508024,6532,107384012
114,649813439,168379,636054,8163,122191417
115,502128734,131367,491510,6325,85091971
116,274283327,84857,268623,3606,70302904
117,864,864,12,12,0
118,1296,1296,18,18,0
119,864,864,12,12,0
120,864,864,12,12,0
121,1080,1080,15,15,0
122,1296,1296,18,18,0
123,864,864,12,12,0
124,864,864,12,12,0
125,1062,1062,16,16,0
126,1296,1296,18,18,0
127,871,882,13,13,0
128,864,864,12,12,0
129,864,864,12,12,0
130,1728,1728,24,24,0
131,864,864,12,12,0
132,864,944,12,13,0
133,1296,1296,18,18,0
134,864,864,12,12,0
135,864,864,12,12,0
136,864,864,12,12,0
137,1296,1296,18,18,0
138,864,864,12,12,0
139,864,864,12,12,0
140,1080,1080,15,15,0
141,1296,1296,18,18,0
