timestamp,PortXmitData,PortRcvData,PortXmitPkts,PortRcvPkts,PortXmitWait
0,1113866,1413792,16630,21665,0
1,792,792,11,11,0
2,360,360,5,5,0
3,729,711,10,10,0
4,729,711,10,10,0
5,374,396,7,7,0
6,729,711,10,10,0
7,576,576,8,8,0
8,736,729,11,11,0
9,360,440,5,6,0
10,513,495,7,7,0
11,360,360,5,5,0
12,945,927,13,13,0
13,360,360,5,5,0
14,513,495,7,7,0
15,576,565,10,10,0
16,1161,1143,16,16,0
17,360,360,5,5,0
18,513,495,7,7,0
19,360,360,5,5,0
20,729,711,10,10,0
21,648,604,12,12,0
22,729,711,10,10,0
23,360,360,5,5,0
24,801,783,11,11,0
25,504,504,7,7,0
26,729,711,10,10,0
27,576,576,8,8,0
28,729,2936,10,66,0
29,513,495,7,7,0
