timestamp,PortXmitData_mlx5_1,PortRcvData_mlx5_1,PortXmitPkts_mlx5_1,PortRcvPkts_mlx5_1,PortXmitWait_mlx5_1,PortXmitData_mlx5_4,PortRcvData_mlx5_4,PortXmitPkts_mlx5_4,PortRcvPkts_mlx5_4,PortXmitWait_mlx5_4,PortXmitData_mlx5_0,PortRcvData_mlx5_0,PortXmitPkts_mlx5_0,PortRcvPkts_mlx5_0,PortXmitWait_mlx5_0,PortXmitData_mlx5_2,PortRcvData_mlx5_2,PortXmitPkts_mlx5_2,PortRcvPkts_mlx5_2,PortXmitWait_mlx5_2,PortRcvData_sum,PortXmitPkts_sum,PortRcvPkts_sum,PortXmitWait_sum,PortXmitData_sum
0,1098304,1397763,15620,20642,0,1320111,1619801,19094,24119,0,1583112,1829474,23166,27152,0,1323590,1655911,19348,25007,0,6502949,77228,96920,0,5325117
1,360,360,5,5,0,864,864,12,12,0,2196,1466,44,27,0,504,796,7,13,0,3486,68,57,0,3924
2,360,360,5,5,0,1008,1008,14,14,0,576,576,8,8,0,360,360,5,5,0,2304,32,32,0,2304
3,729,711,10,10,0,1080,1080,15,15,0,1831,1347,34,23,0,873,1019,12,16,0,4157,71,64,0,4513
4,576,576,8,8,0,1224,1224,17,17,0,4319,3282,77,54,0,729,1067,10,18,0,6149,112,97,0,6848
5,360,360,5,5,0,864,864,12,12,0,1790,1131,42,24,0,504,860,7,15,0,3215,66,56,0,3518
6,801,783,11,11,0,1224,1224,17,17,0,1430,915,37,21,0,801,1139,11,19,0,4061,76,68,0,4256
7,648,648,9,9,0,1080,1080,15,15,0,1574,1059,39,23,0,648,1004,9,17,0,3791,72,64,0,3950
8,1944,1952,27,27,0,1224,1304,17,18,0,1583,1130,39,24,0,801,1219,11,20,0,5605,94,89,0,5552
9,367,378,6,6,0,864,864,12,12,0,1358,843,36,20,0,432,788,6,14,0,2873,60,52,0,3021
10,747,718,11,11,0,1008,1008,14,14,0,1430,915,37,21,0,585,923,8,16,0,3564,70,62,0,3770
11,360,360,5,5,0,1080,1080,15,15,0,1358,843,36,20,0,655,1022,10,18,0,3305,66,58,0,3453
12,792,792,11,11,0,1440,1440,20,20,0,1799,1266,42,26,0,1017,1355,14,22,0,4853,87,79,0,5048
13,360,360,5,5,0,936,936,13,13,0,1358,843,36,20,0,432,788,6,14,0,2927,60,52,0,3086
14,513,495,7,7,0,936,936,13,13,0,1286,771,35,19,0,585,923,8,16,0,3125,63,55,0,3320
15,792,792,11,11,0,1368,1368,19,19,0,1718,1203,41,25,0,864,1220,12,20,0,4583,83,75,0,4742
16,576,576,8,8,0,1159,1170,17,17,0,1662,1140,41,25,0,801,1139,11,19,0,4025,77,69,0,4198
17,367,378,6,6,0,936,936,13,13,0,1286,771,35,19,0,504,860,7,15,0,2945,61,53,0,3093
18,513,495,7,7,0,936,936,13,13,0,1286,771,35,19,0,675,1002,10,18,0,3204,65,57,0,3410
19,576,576,8,8,0,1152,1152,16,16,0,1502,987,38,22,0,2016,2300,28,35,0,5015,90,81,0,5246
20,576,576,8,8,0,1152,1152,16,16,0,1727,1194,41,25,0,801,1139,11,19,0,4061,76,68,0,4256
21,360,360,5,5,0,1008,1008,14,14,0,1214,699,34,18,0,432,788,6,14,0,2855,59,51,0,3014
22,513,495,7,7,0,864,864,12,12,0,1358,843,36,20,0,592,941,9,17,0,3143,64,56,0,3327
23,576,576,8,8,0,1224,1224,17,17,0,1502,987,38,22,0,648,1004,9,17,0,3791,72,64,0,3950
24,576,576,8,8,0,1080,1080,15,15,0,1655,1122,40,24,0,873,1211,12,20,0,3989,75,67,0,4184
25,576,576,8,8,0,1224,1224,17,17,0,1502,987,38,22,0,576,932,8,16,0,3719,71,63,0,3878
26,513,495,7,7,0,864,864,12,12,0,1286,771,35,19,0,657,995,9,17,0,3125,63,55,0,3320
27,576,576,8,8,0,1224,1224,17,17,0,1502,987,38,22,0,576,932,8,16,0,3719,71,63,0,3878
28,576,2801,8,64,0,1080,3305,15,71,0,1766,3380,42,80,0,873,3436,12,76,0,12922,77,291,0,4295
29,513,495,7,7,0,1008,1008,14,14,0,1920,966,58,30,0,585,1279,8,24,0,3748,87,75,0,4026
